Nb,Ta,V,Cr,Mo,Ti,W,density
1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.57
0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.11
0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.15
0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.51
0.8854679802955665,0.1145320197044335,0.0,0.0,0.0,0.0,0.0,9.5
0.45614035087719285,0.0,0.0,0.0,0.5438596491228072,0.0,0.0,9.5
0.9129213483146068,0.0,0.0,0.0,0.0,0.0,0.0870786516853932,9.5
0.0,0.3204158790170131,0.6795841209829869,0.0,0.0,0.0,0.0,9.5
0.0,0.24633123689727457,0.0,0.7536687631027255,0.0,0.0,0.0,9.5
0.0,0.40968801313628894,0.0,0.0,0.0,0.590311986863711,0.0,9.5
0.0,0.0,0.1870503597122301,0.0,0.8129496402877698,0.0,0.0,9.5
0.0,0.0,0.7420091324200913,0.0,0.0,0.0,0.25799086757990874,9.500000000000002
0.0,0.0,0.0,0.24920127795527144,0.7507987220447285,0.0,0.0,9.5
0.0,0.0,0.0,0.8057851239669421,0.0,0.0,0.19421487603305787,9.5
0.0,0.0,0.0,0.0,0.8648180242634317,0.13518197573656832,0.0,9.5
0.0,0.0,0.0,0.0,0.0,0.6614654002713705,0.33853459972862954,9.5
